Price,open,high,low,close,volume
Ticker,SPY,SPY,SPY,SPY,SPY
timestamp,,,,,
2025-08-15 13:30:00+00:00,645.989990234375,646.0900268554688,645.1600952148438,645.1749877929688,2592379
2025-08-15 13:35:00+00:00,645.1799926757812,645.5900268554688,645.0999755859375,645.239990234375,1044954
2025-08-15 13:40:00+00:00,645.22998046875,645.4500122070312,645.0700073242188,645.2000122070312,710022
2025-08-15 13:45:00+00:00,645.2000122070312,645.2100219726562,643.8300170898438,643.9299926757812,1391777
2025-08-15 13:50:00+00:00,643.9299926757812,644.2999877929688,643.719970703125,644.0,1262295
2025-08-15 13:55:00+00:00,644.010009765625,644.3200073242188,643.875,644.0999755859375,871297
2025-08-15 14:00:00+00:00,643.780029296875,644.510009765625,643.2100219726562,644.4099731445312,1287594
2025-08-15 14:05:00+00:00,644.4000244140625,644.5349731445312,644.02001953125,644.4500122070312,629205
2025-08-15 14:10:00+00:00,644.4600219726562,644.510009765625,644.1400146484375,644.4299926757812,528294
2025-08-15 14:15:00+00:00,644.4600219726562,644.6500244140625,644.030029296875,644.0399780273438,717092
2025-08-15 14:20:00+00:00,644.0399780273438,644.22998046875,643.8200073242188,643.9151000976562,647606
2025-08-15 14:25:00+00:00,643.9199829101562,644.4349975585938,643.6099853515625,644.2100219726562,480266
2025-08-15 14:30:00+00:00,644.2000122070312,644.3300170898438,643.7999877929688,643.9199829101562,600899
2025-08-15 14:35:00+00:00,643.9099731445312,644.1898803710938,643.75,644.1749877929688,358335
2025-08-15 14:40:00+00:00,644.1799926757812,644.2650146484375,643.77001953125,643.8599853515625,585498
2025-08-15 14:45:00+00:00,643.8599853515625,643.8800048828125,643.510009765625,643.6900024414062,481008
2025-08-15 14:50:00+00:00,643.6749877929688,643.780029296875,643.4400024414062,643.6199951171875,406091
2025-08-15 14:55:00+00:00,643.614990234375,643.8049926757812,643.3699951171875,643.5750122070312,577707
2025-08-15 15:00:00+00:00,643.5800170898438,643.709228515625,643.3900146484375,643.4949951171875,409041
2025-08-15 15:05:00+00:00,643.489990234375,643.5900268554688,643.260009765625,643.5499877929688,3867333
2025-08-15 15:10:00+00:00,643.5599975585938,643.9199829101562,643.52001953125,643.8400268554688,602302
2025-08-15 15:15:00+00:00,643.7999877929688,644.280029296875,643.75,644.0842895507812,529234
2025-08-15 15:20:00+00:00,644.0900268554688,644.219970703125,643.4500122070312,643.469970703125,449159
2025-08-15 15:25:00+00:00,643.469970703125,643.6900024414062,643.4000244140625,643.47802734375,381663
2025-08-15 15:30:00+00:00,643.469970703125,644.030029296875,643.4600219726562,643.9036865234375,477641
2025-08-15 15:35:00+00:00,643.9099731445312,643.9451293945312,643.2750244140625,643.2899780273438,435015
2025-08-15 15:40:00+00:00,643.2899780273438,643.3800048828125,642.52001953125,642.6300048828125,1210680
2025-08-15 15:45:00+00:00,642.6300048828125,643.4550170898438,642.6199951171875,643.4249877929688,655175
2025-08-15 15:50:00+00:00,643.4199829101562,644.1099853515625,643.3800048828125,644.0150146484375,762005
2025-08-15 15:55:00+00:00,644.02001953125,644.1400146484375,643.3200073242188,643.4149780273438,698070
2025-08-15 16:00:00+00:00,643.4000244140625,643.5601196289062,643.0800170898438,643.2686157226562,500629
2025-08-15 16:05:00+00:00,643.2750244140625,643.6500244140625,643.219970703125,643.5650024414062,364792
2025-08-15 16:10:00+00:00,643.530029296875,643.9400024414062,643.517578125,643.9400024414062,547138
2025-08-15 16:15:00+00:00,643.9299926757812,643.9299926757812,643.3400268554688,643.469970703125,1196333
